City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
0,Hithadhoo,MV,-0.6,73.0833,82.8,71,78,10.76,broken clouds
1,Bertoua,CM,4.5833,13.6833,66.02,99,100,2.73,overcast clouds
2,Provideniya,RU,64.3833,-173.3,37.51,65,0,6.71,clear sky
3,Rikitea,PF,-23.1203,-134.9692,73.58,63,100,17.11,overcast clouds
4,Bengkulu,ID,-3.8004,102.2655,83.07,73,89,4.07,overcast clouds
5,Amurzet,RU,47.6967,131.0981,69.3,67,33,11.01,scattered clouds
6,Saint George,US,37.1041,-113.5841,79.39,31,1,1.01,clear sky
7,Urubicha,BO,-15.3833,-62.95,75.42,61,83,1.88,broken clouds
8,Port Alfred,ZA,-33.5906,26.891,58.06,85,100,11.74,overcast clouds
9,Cape Town,ZA,-33.9258,18.4232,59.34,71,0,18.66,clear sky
10,Bluff,NZ,-46.6,168.3333,48.79,83,93,26.35,overcast clouds
11,Puerto Ayora,EC,-0.7393,-90.3518,69.33,92,77,7.9,broken clouds
12,Vaini,TO,-21.2,-175.2,78.96,89,20,9.22,few clouds
13,Poshekhonye,RU,58.4993,39.1353,39.07,95,100,4.21,overcast clouds
14,Acapulco,MX,16.8634,-99.8901,79.32,84,95,5.55,overcast clouds
15,Barra Dos Coqueiros,BR,-10.9089,-37.0386,78.82,73,75,10.36,broken clouds
16,Pacific Grove,US,36.6177,-121.9166,62.8,80,20,3.0,few clouds
17,Labuhan,ID,-6.8844,112.2051,89.85,51,33,4.65,scattered clouds
18,Mataura,NZ,-46.1927,168.8643,48.47,95,85,10.54,light rain
19,Isangel,VU,-19.55,169.2667,76.24,69,75,15.01,broken clouds
20,Half Moon Bay,US,37.4636,-122.4286,65.17,73,40,1.99,haze
21,Constitucion,CL,-35.3333,-72.4167,48.81,60,0,6.69,clear sky
22,Mar Del Plata,AR,-38.0023,-57.5575,44.01,89,1,9.93,clear sky
23,Bethel,US,41.3712,-73.414,62.19,83,1,3.44,clear sky
24,Guerrero Negro,MX,27.9769,-114.0611,70.3,75,18,14.5,few clouds
25,Hami,CN,42.8,93.45,73.99,17,2,3.0,clear sky
26,Bredasdorp,ZA,-34.5322,20.0403,46.27,87,13,3.18,few clouds
27,Okato,NZ,-39.2,173.8833,56.43,80,22,14.65,few clouds
28,Cabo San Lucas,MX,22.8909,-109.9124,82.51,76,9,4.0,clear sky
29,Punta Arenas,CL,-53.15,-70.9167,46.51,46,20,40.29,few clouds
30,Bacolod,PH,10.6667,122.95,86.43,71,89,9.55,overcast clouds
31,Todos Santos,MX,23.45,-110.2167,82.0,85,2,7.18,clear sky
32,Husavik,IS,66.0449,-17.3389,28.65,70,86,14.14,overcast clouds
33,Maragogi,BR,-9.0122,-35.2225,74.07,86,34,7.4,scattered clouds
34,Marrakesh,MA,31.6315,-8.0083,66.27,72,0,2.3,clear sky
