City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
0,Raudeberg,NO,61.9875,5.1352,56.19,60,100,7.7,overcast clouds
1,Hasaki,JP,35.7333,140.8333,63.28,80,100,6.62,overcast clouds
2,Oriximina,BR,-1.7656,-55.8661,90.93,45,84,2.28,broken clouds
3,San Patricio,US,28.017,-97.5169,86.72,57,8,13.58,clear sky
4,Georgetown,MY,5.4112,100.3354,77.9,92,20,1.01,few clouds
5,Zaraza,VE,9.3503,-65.3245,88.07,57,98,2.13,overcast clouds
6,Meridian,US,43.6121,-116.3915,65.35,41,1,1.99,clear sky
7,Kochubey,RU,44.3861,46.5825,55.33,49,100,9.78,overcast clouds
8,Norman Wells,CA,65.282,-126.8329,37.44,56,20,2.3,few clouds
9,Yar-Sale,RU,66.8333,70.8333,38.07,91,100,12.59,light rain
10,Beyneu,KZ,45.3167,55.2,46.92,49,16,5.91,few clouds
11,Katsuura,JP,35.1333,140.3,71.19,75,100,6.44,overcast clouds
12,Pundaguitan,PH,6.3711,126.1689,83.28,73,100,5.53,overcast clouds
13,The Valley,AI,18.217,-63.0578,86.83,74,40,8.05,scattered clouds
14,Pyay,MM,18.8167,95.2167,75.02,92,83,1.9,broken clouds
15,Albany,US,42.6001,-73.9662,62.15,65,94,5.97,overcast clouds
16,Simpang,ID,-1.2667,104.0833,74.68,97,100,2.93,overcast clouds
17,Oktyabrskiy,RU,54.4815,53.471,35.64,66,100,3.67,overcast clouds
18,Busselton,AU,-33.65,115.3333,58.08,86,5,7.47,clear sky
19,Mataura,NZ,-46.1927,168.8643,47.48,96,100,7.11,overcast clouds
20,Douentza,ML,14.9951,-2.9517,93.31,26,45,1.07,scattered clouds
21,Atuona,PF,-9.8,-139.0333,77.67,76,42,19.37,light rain
22,Qaqortoq,GL,60.7167,-46.0333,36.1,51,4,3.91,clear sky
23,Batemans Bay,AU,-35.7167,150.1833,61.99,95,100,3.04,overcast clouds
24,Port Alfred,ZA,-33.5906,26.891,59.92,74,100,18.39,overcast clouds
